id;test;ctrl;valence;time;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;age;gender;income;work;car;edu;device;day;hour
160;6;7;1;1830;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;5;7;1;1990;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;1;7;1;1926;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;1;6;4;4351;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;5;7;1;3143;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;4;7;1;3944;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;5;5;3;3566;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;4;5;2;7919;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;1;5;5;5895;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;5;6;3;5803;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
160;5;7;3;6992;6;5;4;3;3;4;5;6;6;5;4;3;18.0;0.0;1.0;1.0;1.0;1.0;0;1;9
161;5;6;1;2547;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;1;6;1;1511;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;6;6;1;2103;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;5;7;3;1454;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
